79.171.50.212:500,
69.79.196.12:500,
208.83.81.228:500,
186.141.175.63:500,
186.141.132.10:500,invalid-syntax
186.143.132.10:500,invalid-syntax
181.10.205.28:500,invalid-syntax
181.10.205.24:500,invalid-syntax
181.10.205.25:500,invalid-syntax
181.10.205.24:500,invalid-syntax
181.10.205.25:500,invalid-syntax
217.76.2.165:500,
217.76.2.170:500,
149.135.224.24:500,
101.168.246.193:500,
101.168.246.65:500,
149.135.226.9:500,
144.135.83.107:500,
149.135.136.48:500,private-use-error-reporting-8195
149.135.226.11:500,cookie
149.135.233.3:500,
149.135.232.3:500,
149.135.224.26:500,
213.94.78.31:500,
213.94.78.29:500,
188.21.252.240:500,
188.21.252.241:500,
188.21.252.241:500,
188.21.252.240:500,
83.216.32.116:500,no-proposal-chosen
83.216.33.116:500,no-proposal-chosen
213.162.90.41:500,invalid-syntax
213.162.90.41:500,invalid-syntax
213.162.90.41:500,invalid-syntax
69.79.196.12:500,
88.201.70.1:500,
116.58.207.151:500,
202.56.6.76:500,
202.56.6.74:500,
69.79.196.12:500,
128.140.255.27:500,
128.140.255.59:500,
128.140.255.91:500,
212.224.253.168:500,
212.224.253.170:500,
81.169.63.88:500,
81.169.63.80:500,
185.3.163.80:500,
185.3.162.80:500,
186.195.153.10:500,
200.169.116.53:500,
152.255.2.16:500,invalid-syntax
152.255.14.0:500,invalid-syntax
69.79.196.12:500,
202.152.92.101:500,
202.152.85.69:500,
202.152.92.101:500,
202.152.85.69:500,
213.226.0.178:500,
82.137.72.94:500,
82.137.72.96:500,
69.158.207.146:500,no-proposal-chosen
69.158.242.2:500,no-proposal-chosen
208.98.223.247:500,no-proposal-chosen
209.148.157.48:500,
207.219.233.33:500,no-proposal-chosen
184.163.5.80:500,
66.130.6.180:500,
184.162.85.128:500,
191.125.99.97:500,
191.126.99.97:500,
45.232.35.1:500,invalid-syntax
190.13.110.250:500,invalid-syntax
179.49.228.13:500,invalid-syntax
179.49.229.13:500,invalid-syntax
212.91.113.181:500,
81.21.46.33:500,invalid-syntax
81.21.46.65:500,invalid-syntax
160.218.3.2:500,
160.218.3.4:500,
62.141.11.59:500,no-proposal-chosen
62.141.11.101:500,no-proposal-chosen
62.141.11.56:500,no-proposal-chosen
31.30.69.152:500,
31.30.69.153:500,
95.209.200.94:500,
95.209.200.95:500,
62.135.161.132:500,private-use-error-reporting-8195
62.135.161.44:500,
77.214.4.170:500,
77.214.4.171:500,
190.124.94.8:500,
190.124.94.1:500,
200.85.85.20:500,invalid-syntax
200.85.85.22:500,invalid-syntax
105.203.255.76:500,private-use-error-reporting-8194
105.203.255.75:500,
196.151.225.243:500,
194.204.13.252:500,
194.204.13.253:500,no-proposal-chosen
213.102.142.43:500,no-proposal-chosen
213.102.142.27:500,no-proposal-chosen
213.102.142.11:500,no-proposal-chosen
185.74.210.160:500,
185.74.210.224:500,
213.216.202.76:500,
213.161.47.19:500,
213.161.47.18:500,
213.161.47.20:500,
194.142.89.198:500,no-proposal-chosen
194.142.89.70:500,no-proposal-chosen
62.201.149.81:500,no-proposal-chosen
62.201.149.82:500,no-proposal-chosen
92.90.28.1:500,no-proposal-chosen
92.90.28.2:500,no-proposal-chosen
92.90.28.3:500,no-proposal-chosen
212.27.34.141:500,no-proposal-chosen
212.27.34.142:500,no-proposal-chosen
212.27.34.147:500,no-proposal-chosen
84.246.115.151:500,no-proposal-chosen
84.246.113.151:500,no-proposal-chosen
193.56.244.208:500,
193.56.245.208:500,
80.12.36.221:500,
80.12.25.138:500,
92.90.28.4:500,no-proposal-chosen
92.90.28.1:500,no-proposal-chosen
92.90.28.3:500,no-proposal-chosen
