EPDG_IPv4,Reply
213.20.151.16:500,
213.20.31.8:500,
139.7.2.202:500,
139.7.2.205:500,
41.189.160.185:500,
41.189.161.186:500,invalid-syntax
41.189.161.185:500,invalid-syntax
94.143.176.242:500,invalid-syntax
94.143.177.210:500,
94.143.178.220:500,
62.74.30.36:500,
62.74.30.4:500,
84.254.12.96:500,
84.254.12.97:500,proposal-sa-accepted
69.79.196.12:500,proposal-sa-accepted
81.52.214.129:500,proposal-sa-accepted
81.52.215.129:500,proposal-sa-accepted
202.151.93.1:500,
182.239.86.1:500,proposal-sa-accepted
182.239.118.1:500,invalid-syntax
180.219.135.18:500,invalid-syntax
120.88.224.2:500,proposal-sa-accepted
120.88.254.1:500,
120.88.254.2:500,
120.88.224.1:500,
120.88.224.1:500,
120.88.224.2:500,proposal-sa-accepted
120.88.254.1:500,
120.88.254.2:500,
120.88.224.1:500,
120.88.224.2:500,proposal-sa-accepted
120.88.254.1:500,
120.88.254.2:500,
120.88.224.1:500,
120.88.224.2:500,proposal-sa-accepted
120.88.254.1:500,
120.88.254.2:500,
212.51.127.131:500,
212.51.127.132:500,
217.79.139.41:500,
217.79.139.33:500,
80.244.97.254:500,
80.244.97.255:500,invalid-syntax
78.40.249.216:500,invalid-syntax
78.40.249.219:500,invalid-syntax
194.144.230.69:500,invalid-syntax
194.144.230.65:500,invalid-syntax
106.201.214.118:500,proposal-sa-accepted
117.96.89.17:500,
117.96.89.25:500,
106.201.214.108:500,
223.224.123.10:500,
106.201.214.112:500,
106.201.214.101:500,
106.201.214.113:500,
106.201.214.105:500,
106.201.214.97:500,no-proposal-chosen
106.200.68.254:500,
106.201.214.106:500,
223.224.150.16:500,
223.224.79.240:500,
42.105.253.7:500,
42.105.253.4:500,
203.88.11.33:500,
203.88.4.88:500,
42.105.253.16:500,
42.105.253.19:500,
42.105.61.193:500,
42.105.253.37:500,
42.105.253.28:500,
42.105.253.31:500,
42.105.253.34:500,
42.105.253.25:500,
42.105.253.22:500,
203.88.5.84:500,
203.88.5.85:500,
203.88.5.81:500,
203.88.5.80:500,
42.105.61.193:500,
203.88.4.88:500,
203.88.11.33:500,
203.88.5.80:500,
203.88.5.81:500,
42.105.253.25:500,
42.105.253.22:500,
42.105.253.7:500,
42.105.253.4:500,
203.88.11.33:500,
203.88.4.88:500,
42.105.253.13:500,
42.105.253.10:500,
203.88.5.80:500,
203.88.5.81:500,
203.88.11.33:500,
203.88.4.88:500,
203.88.5.84:500,
203.88.5.85:500,
42.105.61.193:500,
42.105.61.193:500,
203.88.5.84:500,
203.88.5.85:500,
42.105.253.16:500,
42.105.253.19:500,
203.88.11.33:500,
203.88.4.88:500,
115.178.175.4:500,
115.178.173.4:500,
115.178.175.4:500,
115.178.173.4:500,
185.11.40.71:500,
86.43.56.37:500,
86.43.56.36:500,
89.19.64.254:500,
89.19.64.93:500,no-proposal-chosen
176.12.159.52:500,no-proposal-chosen
80.246.131.112:500,
80.246.132.112:500,
82.102.137.40:500,
82.102.137.24:500,
82.102.137.8:500,
91.135.110.90:500,
91.135.104.90:500,
151.58.176.130:500,
151.58.176.133:500,
151.58.176.134:500,
151.58.176.135:500,
151.58.176.136:500,
151.58.176.144:500,
151.58.176.145:500,
151.58.176.2:500,
151.58.176.3:500,
151.58.176.4:500,
151.58.176.5:500,
151.58.176.6:500,
151.58.176.7:500,
151.58.176.8:500,
151.58.176.129:500,
83.216.32.116:500,no-proposal-chosen
83.216.33.116:500,no-proposal-chosen
217.200.184.104:500,
217.200.184.114:500,no-proposal-chosen
217.200.184.107:500,
151.58.176.4:500,
151.58.176.5:500,
151.58.176.6:500,
151.58.176.7:500,
151.58.176.8:500,
151.58.176.129:500,
151.58.176.130:500,
151.58.176.133:500,
151.58.176.134:500,
151.58.176.135:500,
151.58.176.136:500,
151.58.176.144:500,
151.58.176.145:500,
151.58.176.2:500,
151.58.176.3:500,
69.79.196.12:500,proposal-sa-accepted
27.86.78.96:500,proposal-sa-accepted
27.86.78.34:500,
27.86.78.98:500,
27.86.78.32:500,
27.86.78.34:500,
27.86.78.32:500,
27.86.78.96:500,proposal-sa-accepted
27.86.78.98:500,
37.152.0.16:500,
37.152.0.8:500,invalid-syntax
217.76.66.77:500,invalid-syntax
217.76.64.27:500,
217.69.180.20:500,invalid-syntax
217.69.190.20:500,
94.128.15.118:500,
94.129.128.170:500,invalid-syntax
91.192.66.38:500,invalid-syntax
185.189.154.172:500,invalid-syntax
185.189.154.236:500,
212.3.202.29:500,proposal-sa-accepted
212.3.202.201:500,proposal-sa-accepted
83.178.78.27:500,proposal-sa-accepted
83.178.78.11:500,proposal-sa-accepted
188.21.252.242:500,no-proposal-chosen
188.21.252.244:500,proposal-sa-accepted
185.189.154.108:500,no-proposal-chosen
185.189.154.44:500,proposal-sa-accepted
213.103.174.27:500,
213.103.174.11:500,proposal-sa-accepted
212.224.253.170:500,proposal-sa-accepted
212.224.253.168:500,no-proposal-chosen
213.166.32.184:500,
213.166.32.185:500,no-proposal-chosen
42.153.28.64:500,
42.153.24.64:500,
183.171.2.28:500,invalid-syntax
115.164.123.65:500,
115.164.251.65:500,
202.75.146.43:500,proposal-sa-accepted
202.75.146.42:500,proposal-sa-accepted
202.75.146.41:500,proposal-sa-accepted
123.136.110.180:500,
123.136.100.132:500,
42.153.28.64:500,
42.153.24.64:500,
183.78.4.222:500,cookie
103.50.104.222:500,
201.175.142.200:500,
82.113.13.195:500,
77.222.22.17:500,
69.79.196.12:500,proposal-sa-accepted
197.230.202.184:500,proposal-sa-accepted
197.230.202.185:500,
103.85.107.15:500,
120.89.106.2:500,
62.133.76.240:500,
83.232.33.107:500,
83.232.33.106:500,
84.241.236.217:500,
84.241.236.219:500,
84.241.236.220:500,
84.241.236.221:500,
84.241.236.222:500,
84.241.236.218:500,
84.241.238.67:500,
84.241.238.66:500,
109.39.144.148:500,
94.247.7.74:500,
122.63.255.115:500,no-proposal-chosen
122.63.255.109:500,no-proposal-chosen
122.63.255.112:500,no-proposal-chosen
203.96.213.192:500,no-proposal-chosen
203.96.213.193:500,no-proposal-chosen
77.16.1.5:500,no-proposal-chosen
77.16.1.3:500,
217.13.9.76:500,
89.9.88.41:500,no-proposal-chosen
77.16.1.5:500,no-proposal-chosen
77.16.1.3:500,
195.41.220.241:500,
195.41.220.240:500,
89.9.88.38:500,
89.9.92.38:500,no-proposal-chosen
89.9.88.41:500,no-proposal-chosen
212.72.0.52:500,no-proposal-chosen
212.72.0.48:500,no-proposal-chosen
119.160.84.248:500,invalid-syntax
119.160.95.248:500,invalid-syntax
119.160.95.248:500,invalid-syntax
119.160.84.248:500,invalid-syntax
37.111.190.78:500,
201.227.226.190:500,
200.108.53.208:500,proposal-sa-accepted
131.100.184.24:500,
131.100.184.25:500,no-proposal-chosen
186.160.197.30:500,
186.160.129.222:500,invalid-syntax
201.230.206.157:500,
201.230.206.7:500,invalid-syntax
203.87.172.208:500,invalid-syntax
121.54.55.133:500,proposal-sa-accepted
217.116.102.17:500,invalid-syntax
217.116.100.18:500,proposal-sa-accepted
217.116.100.23:500,proposal-sa-accepted
217.116.100.22:500,proposal-sa-accepted
217.116.100.15:500,proposal-sa-accepted
217.116.102.16:500,proposal-sa-accepted
217.116.100.20:500,proposal-sa-accepted
217.116.100.14:500,proposal-sa-accepted
217.116.102.19:500,proposal-sa-accepted
217.116.102.18:500,proposal-sa-accepted
217.116.102.14:500,proposal-sa-accepted
217.116.102.15:500,proposal-sa-accepted
217.116.100.19:500,proposal-sa-accepted
217.116.102.20:500,proposal-sa-accepted
89.108.195.110:500,proposal-sa-accepted
89.108.200.112:500,proposal-sa-accepted
31.0.184.80:500,no-proposal-chosen
37.248.184.80:500,
178.182.200.31:500,
178.182.200.131:500,no-proposal-chosen
178.182.201.31:500,
88.214.178.122:500,no-proposal-chosen
212.113.164.234:500,no-proposal-chosen
212.113.164.233:500,no-proposal-chosen
72.50.33.21:500,no-proposal-chosen
72.50.33.20:500,no-proposal-chosen
185.239.92.11:500,proposal-sa-accepted
86.62.214.93:500,no-proposal-chosen
86.62.214.95:500,proposal-sa-accepted
80.76.164.146:500,
80.76.164.147:500,
80.76.171.185:500,
80.12.213.163:500,
80.12.213.162:500,
165.169.184.230:500,
82.137.15.250:500,private-use-error-reporting-16404
82.137.15.252:500,
82.137.15.207:500,no-proposal-chosen
82.137.15.212:500,no-proposal-chosen
93.113.56.232:500,no-proposal-chosen
109.166.155.233:500,invalid-syntax
109.166.155.232:500,
93.113.56.233:500,
178.138.38.1:500,
46.97.10.152:500,proposal-sa-accepted
46.97.10.153:500,
85.249.19.248:500,
85.249.16.248:500,
31.173.34.209:500,
85.26.231.145:500,invalid-syntax
217.148.52.254:500,
213.87.142.77:500,invalid-syntax
176.59.63.78:500,proposal-sa-accepted
217.169.82.242:500,
217.169.82.241:500,invalid-syntax
176.59.95.161:500,no-proposal-chosen
176.59.95.160:500,invalid-syntax
176.59.159.191:500,invalid-syntax
176.59.159.190:500,invalid-syntax
176.59.63.79:500,invalid-syntax
31.173.34.209:500,invalid-syntax
69.79.196.12:500,invalid-syntax
69.79.196.12:500,invalid-syntax
69.79.196.12:500,proposal-sa-accepted
86.51.51.63:500,invalid-syntax
212.215.132.251:500,proposal-sa-accepted
212.215.132.241:500,proposal-sa-accepted
212.215.132.244:500,invalid-syntax
212.215.132.253:500,invalid-syntax
212.215.132.252:500,invalid-syntax
212.215.132.242:500,invalid-syntax
212.215.132.245:500,invalid-syntax
212.215.132.250:500,invalid-syntax
212.215.132.243:500,invalid-syntax
212.215.132.249:500,invalid-syntax
185.5.152.16:500,invalid-syntax
79.170.52.50:500,invalid-syntax
79.170.53.26:500,invalid-syntax
111.65.100.17:500,invalid-syntax
111.65.100.1:500,invalid-syntax
203.116.25.1:500,invalid-syntax
122.11.213.1:500,
210.10.14.25:500,
210.10.15.25:500,
90.176.30.1:500,
90.176.30.2:500,invalid-syntax
213.151.204.237:500,
85.237.227.21:500,invalid-syntax
84.245.112.74:500,
195.91.54.1:500,
195.91.54.2:500,no-proposal-chosen
213.229.192.67:500,no-proposal-chosen
213.229.192.82:500,
84.255.211.75:500,
41.50.128.53:500,proposal-sa-accepted
41.208.50.117:500,
41.246.191.254:500,invalid-syntax
41.1.162.233:500,invalid-syntax
41.1.162.232:500,no-proposal-chosen
212.121.254.243:500,no-proposal-chosen
185.178.169.32:500,
185.178.169.33:500,proposal-sa-accepted
79.116.252.219:500,
79.116.252.213:500,no-proposal-chosen
213.4.100.129:500,
